Id,cycleName,distinctLanes,Radius,GridLength,Type,iterations,PhotonsDetected,cycleType,lanes,Photons,Milliseconds,PercentageTime,Percent
1,"[1,0]",2,0.1,10,B,10000,0,DYAD,0,0,9997,0.9997,0
1,"[1,0]",2,0.1,10,B,10000,0,DYAD,1,0,3,0.0003,0
2,"[1,0]",2,0.399,10,B,10000,0,DYAD,0,0,9949,0.9949,0
2,"[1,0]",2,0.399,10,B,10000,0,DYAD,1,0,51,0.0051,0
3,"[1,0]",2,0.698,10,B,10000,0,DYAD,0,0,9841,0.9841,0
3,"[1,0]",2,0.698,10,B,10000,0,DYAD,1,0,159,0.0159,0
4,"[1,0]",2,0.9969999999999999,10,B,10000,0,DYAD,0,0,9720,0.972,0
4,"[1,0]",2,0.9969999999999999,10,B,10000,0,DYAD,1,0,280,0.028,0
5,"[1,0]",2,1.2959999999999998,10,B,10000,0,DYAD,0,0,9483,0.9483,0
5,"[1,0]",2,1.2959999999999998,10,B,10000,0,DYAD,1,0,517,0.0517,0
6,"[1,0]",2,1.5949999999999998,10,B,10000,0,DYAD,0,0,9233,0.9233,0
6,"[1,0]",2,1.5949999999999998,10,B,10000,0,DYAD,1,0,767,0.0767,0
7,"[1,0]",2,1.8939999999999997,10,B,10000,100,DYAD,0,0,8891,0.8891,0
7,"[1,0]",2,1.8939999999999997,10,B,10000,100,DYAD,1,100,1109,0.1109,1
8,"[1,0]",2,2.1929999999999996,10,B,10000,100,DYAD,0,0,8480,0.848,0
8,"[1,0]",2,2.1929999999999996,10,B,10000,100,DYAD,1,100,1520,0.152,1
9,"[1,0]",2,2.4919999999999995,10,B,10000,100,DYAD,0,0,8040,0.804,0
9,"[1,0]",2,2.4919999999999995,10,B,10000,100,DYAD,1,100,1960,0.196,1
10,"[1,0]",2,2.7909999999999995,10,B,10000,200,DYAD,0,0,7525,0.7525,0
10,"[1,0]",2,2.7909999999999995,10,B,10000,200,DYAD,1,200,2475,0.2475,1
11,"[1,0]",2,3.0899999999999994,10,B,10000,300,DYAD,0,0,6979,0.6979,0
11,"[1,0]",2,3.0899999999999994,10,B,10000,300,DYAD,1,300,3021,0.3021,1
